Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Colour,Seats,No. of Doors,Price,Brand,Model,CarAge
10,99000,1,1,3,12.05,2179,120,0,8,5,6,15,158,10
7,18678,4,1,0,21.1,998,100,1,5,4,8.32,16,25,4
1,131500,1,1,0,11.68,2498,112,2,7,5,4,15,198,9
4,45000,1,1,0,24,1120,70,2,5,4,3.49,9,89,8
4,65000,1,1,0,12.8,2494,102,1,8,5,6.4,26,96,11
7,15135,4,1,0,17.5,1199,88.7,2,5,4,9.29,8,182,4
1,79000,1,1,0,24.8,1396,88.7,2,5,4,7.25,9,179,6
10,36000,1,0,0,12.55,2982,168.5,2,7,5,22,26,77,7
5,131500,1,1,0,12.8,2494,102,1,8,5,8.5,26,96,13
5,61250,1,1,0,25.44,936,57.6,1,5,4,2.7,3,26,10
5,131500,1,1,2,12.8,2494,102,1,7,4,5.2,26,96,15
0,41000,4,0,2,10.4,2773,201,2,5,4,10.5,0,11,14
4,17431,4,1,0,18.6,1197,81.83,0,5,4,6,9,204,5
9,48000,1,0,2,17,1896,105,2,5,4,2.95,23,104,13
9,10400,4,1,0,17.4,1497,117.3,0,5,4,6.51,8,44,7
4,33000,1,1,0,27.39,1248,74,0,5,4,6.96,16,25,5
10,94000,1,0,2,12.07,2967,228.25,2,7,5,12,0,134,13
1,70000,1,1,0,19.01,1461,108.45,0,5,4,8.25,22,57,8
2,40000,1,1,0,20.77,1248,88.8,1,7,5,7,16,68,10
5,131500,1,0,0,6.5,2179,115,0,5,4,16.75,14,143,10
9,35000,4,1,0,15,1598,103.52,0,5,4,4.5,23,139,8
10,42000,4,1,3,18.2,998,67.1,1,5,4,1.3,16,201,15
9,48000,1,0,0,21.76,1995,190,1,5,4,26.5,1,2,8
1,59000,4,1,0,18.5,1197,80,0,5,4,5.75,9,204,7
2,79000,4,1,0,18.9,998,67.1,2,5,4,3,16,183,9
8,45000,4,1,0,16,1198,90,2,5,4,2,8,97,12
0,60123,4,1,2,18.9,998,67.1,1,5,4,1.95,16,183,14
3,64456,1,1,0,24.3,1248,88.5,2,5,4,10.46,16,180,4
6,25000,1,1,0,12.4,2499,134,1,5,4,8,10,56,5
4,75000,1,1,0,21.5,1248,88.8,0,5,4,2.5,16,152,11
3,31446,4,1,0,20.36,1197,78.9,1,5,4,4.66,9,203,8
5,97236,1,1,0,25.8,1498,98.6,2,5,4,4.4,8,17,8
7,15466,4,1,0,22.5,998,67.04,2,5,4,3.36,16,183,11
10,51000,1,1,0,24.4,1120,71,2,5,4,5.25,9,196,6
5,8000,4,0,0,12.5,3163,228.25,1,2,2,100,11,72,7
2,131500,1,0,2,13.2,1995,170,1,5,4,9,1,2,13
9,8682,1,0,0,6.5,1950,194,2,5,4,39.5,17,32,4
8,55339,1,1,0,22.07,1199,73.9,2,5,4,2.65,27,128,10
4,26000,1,1,0,19.64,1461,108.45,2,5,4,10,22,57,6
9,78000,1,0,0,18.48,1995,177,1,5,4,19.5,1,3,9
3,16392,1,1,0,16.55,2498,105,2,6,5,10.36,15,171,3
2,83000,1,0,0,16.07,1995,181,1,5,4,12.75,1,2,12
5,54000,4,1,2,20.92,998,98.145,1,5,4,2.75,16,16,9
8,19008,4,1,0,17,1197,80,1,5,4,5.25,9,204,6
8,18000,4,1,0,20.36,1197,78.9,2,5,4,2.85,9,203,7
4,48000,1,1,0,25.8,1498,98.6,1,5,4,4.5,8,17,7
9,39000,1,0,0,20.38,1968,143,1,5,4,18.9,0,9,6
10,85000,1,1,0,13.49,2179,138.03,2,5,4,3.5,25,197,8
3,31271,1,1,0,13.68,2393,147.8,2,8,5,21.42,26,96,3
10,102000,1,0,0,15.06,1995,177,1,5,4,13.75,1,185,11
5,63181,4,1,0,15.3,1341,83,0,5,4,1.85,9,88,16
1,45000,1,0,2,12.07,2967,228.25,2,7,5,37.9,0,134,8
6,131500,1,1,0,20.54,1598,103.6,0,5,4,7,27,177,9
9,67000,1,0,2,22.69,1995,190,2,5,4,9.25,1,2,12
6,125000,1,1,2,20.54,1598,103.6,1,5,4,6.25,27,177,9
8,9500,4,1,0,18.2,1199,82.5,0,5,4,3.5,3,154,8
1,52000,4,1,0,13.24,1598,102.57,2,5,4,5.99,22,57,8
8,53073,1,1,0,20.77,1248,88.76,0,7,5,5.95,16,68,9
0,35000,4,1,0,19.7,796,46.3,2,5,4,1.5,16,16,13
3,29091,4,1,0,18.9,1197,81.86,1,5,4,4.87,9,89,6
7,82603,4,1,0,13.06,1598,102.53,1,5,4,4.9,22,57,7
3,44340,1,0,0,16.96,1968,138.03,0,5,4,13.83,27,99,6
1,64357,4,1,0,24.07,998,67.1,1,5,4,2.75,16,16,11
8,45000,4,1,0,18.7,1199,88.7,2,5,4,4.75,8,97,7
3,41810,4,1,0,20.73,1373,91.1,0,5,4,7.11,16,43,6
0,47003,4,1,0,20.36,1197,78.9,0,5,4,3.67,9,203,8
3,48040,1,0,2,16.77,2967,228.25,0,5,4,12.07,0,11,13
7,24700,4,1,0,18.7,1199,88.7,0,5,4,7.07,8,97,5
5,63000,1,1,0,22.07,1199,73.9,1,5,4,4.2,27,128,10
10,63050,4,0,0,11.1,2354,158.8,2,5,4,17.5,8,35,7
8,87284,1,1,0,15.1,2179,140,2,7,5,7.8,15,195,9
5,86000,1,0,0,14.84,2143,170,2,5,4,19,17,115,10
7,55389,1,0,0,18.88,1995,184,1,5,4,28.45,1,2,5
9,87000,4,1,0,13.5,1799,130,2,5,4,2.35,8,45,14
5,45000,1,0,0,17.05,1995,184,0,5,4,21.5,1,185,8
3,66930,4,1,0,17.1,1591,121.3,1,5,4,6.15,9,179,9
10,62500,4,1,0,20.36,1197,78.9,2,5,4,2.1,9,203,13
5,67000,1,1,0,27.3,1498,98.6,1,5,4,6.9,8,97,7
3,66245,4,1,0,17,1497,118,0,5,4,5.68,8,44,10
9,69000,4,0,2,16.8,1497,118,2,5,4,2.85,8,44,12
7,61648,4,0,0,13.7,1798,157.75,1,5,4,14.23,23,165,6
3,90207,1,1,0,21.1,1248,73.9,2,5,4,3.91,16,142,11
9,129000,1,1,0,10.5,2835,107.2,2,6,5,3.45,19,123,16
8,27000,4,1,0,14.28,1798,138.03,2,5,4,7.95,26,51,8
10,48823,1,0,0,19.5,1582,126.24,0,5,4,8.5,9,64,9
5,98000,1,0,0,12.07,2967,228.25,1,7,5,22,0,134,11
1,78400,4,1,2,15.6,1196,70,1,5,4,2.75,7,75,12
5,72566,1,1,0,25.83,1498,99,2,5,4,5.29,7,75,6
4,68000,4,1,0,17,1497,118,0,5,4,3.6,8,44,11
10,55000,4,1,0,22,814,55,1,5,4,2.61,9,61,7
10,63000,1,1,0,24.52,1248,88.5,2,7,5,8.15,16,68,6
9,74000,4,0,2,11.07,2496,179.5,1,5,4,8.25,20,169,7
